901,"Eurotrip",2004,"Jeff Schaffer"
902,"Gone in 60 Seconds",2000,"DominicSena"
906,"Bruce Almighty",2003,"Tom Shadyac"
907,"Bicentennial Man",1999,"ChrisColumbus"
908,"Lord of the Rings: The Return of theKing",2003,"Peter Jackson"
909,"Elektra",2005,"Rob Bowman"
910,"Spider Man 2",2004,"Sam Raimi"
921,"Smallville: Season 3",2004,"AlfredGough"
925,"The Majestic",2001,"Frank Darabont"
926,"Insomnia",2002,"Christopher Nolan"
927,"Lord of the Rings: The Two Towers",2002,"Peter Jackson"
928,"Daredevil",2003,"Mark Steven Johnson"
929,"Spider Man",2002,"Sam Raimi"
48008,"Coach Carter",2005,"Thomas Carter"
48011,"The Phantom of theOpera",2004,"Joel Schumacher"
135001,"12 Monkeys",1995,"Terry Gilliam"
135002,"Blade Runner",1982,"Ridley Scott"
135004,"The Usual Suspects",1995,"Bryan Singer"
135005,"Zoolander",2001,"Ben Stiller"
135006,"The Life Aquatic",2004,"Wes Anderson"
135007,"The Lost Boys",1987,"Joel Schumacher"
135008,"Braveheart",1995,"Mel Gibson"
135009,"The Royal Tenenbaums",2001,"Wes Anderson"
135010,"Indiana Jones and the Last Crusade",1989,"Steven Spielberg"
135011,"A Nightmare On Elm Street",1984,"WesCraven"
135012,"Dumb and Dumber",1994,"Peter Farrelly"
135013,"Elf",2003,"Jon Favreau"
135014,"Monty Python and the Holy Grail",1975,"Terry Jones"
140001,"Bourne Identity",2004,"Doug Liman"
140003,"Mr. and Mrs. Smith",2005,"DougLiman"
140005,"Boiler Room",2000,"Ben Younger"
140008,"The Terminal",2004,"StevenSpielberg"
140009,"Bride and Prejudice",2005,"Gurinder Chadha"
140010,"The Hunted",2003,"WilliamFriedkin"
150001,"Charlie andthe Chocolate Factory",2005,"TimBurton"
150002,"Are WeThere Yet",2005,"BrianLevant"
150003,"BeautifulBoxer",2005,"Ekachai Uekrongtham"
150004,"Alone inthe Dark ",2005,"Uwe Boll"
150010,"Alexander",2005,"OliverStone"
156001,"Aviator",2004,"Martin Scorsese"
156003,"Love the Hard Way",2001,"PeterSehr"
156004,"Meet the Fockers",2004,"Jay Roach"
156005,"The Terminator",1984,"JamesCameron"
156006,"Jurassic Park",1993,"StevenSpielberg"
156008,"Snatch",2000,"Guy Ritchie"
156009,"Garden State",2004,"Zach Braff"
156010,"The Lord of the Rings: The Fellowshipof the Ring",2001,"Peter Jackson"
217001,"Catwoman",2004,"Pitof"
217002,"The New World",2005,"TerrenceMalick"
217003,"Hide And Seek",2005,"John Polson"
217004,"Batman Begins",2005,"ChristopherNolan"
217005,"Racing Stripes",2005,"Frederik DuChau"
217006,"Cinderella Man",2005,"Ron Howard"
217007,"The Ring 2",2005,"Hideo Nakata"
217008,"Robots",2005,"Chris Wedge"
217009,"Son Of The Mask",2005,"LarryGuterman"
217010,"Kingdom Of Heaven",2005,"RidleyScott"
217011,"Bride And Prejudice",2004,"GurinderChadha"
217012,"Miss Congeniality 2: ARMED ANDFABULOUS",2005,"John Pasquin"
217013,"Swimming Upstream",2003,"RussellMulcahy"
217015,"Unleashed",2005,"Louis Leterrier"
217016,"Spiderman 2",2005,"Sam Raimi"
217017,"Hitch",2005,"Andy Tennant"
217018,"Million Dollar Baby",2005,"ClintEastwood"
217019,"The Machinist",2005,"Brad Anderson"
217020,"Alexander",2004,"Oliver Stone"
259001,"About A Boy",2002,"Chris Weitz"
259003,"Hero",2002,"Yimou Zhang"
259004,"Lost In Translation",2003,"SofiaCoppola"
259005,"Wonder Boys",2000,"Curtis Hanson"
259006,"Before Sunrise",1995,"RichardLinklater"
259008,"Requiem For a Dream",2000,"DarrenAronofsky"
326002,"Godsend",2004,"Nick Hamm"
326003,"Starsky & Hutch",2004,"Todd Phillips"
326004,"Along Came Polly",2004,"John Hamburg"
326006,"Lemony Snicket's A Series of Unfortunate Events",2004,"Brad Silberling"
326007,"Cold Mountain",2003,"Anthony Minghella"
326008,"Birth",2004,"Jonathan Glazer"
326010,"Ocean's Twelve",2004,"Steven Soderbergh"
412004,"X2",2003,"Bryan Singer"
412008,"White Noise",2005,"Geoffrey Sax"
422102,"Eternal Sunshine of the SpotlessMind",2004,"Michel Gondry"
422103,"Le Fabuleux destin dAm�ie Poulain",2001,"Jean-Pierre Jeunet"
422104,"Ghost World",2004,"TerryZwigoff"
422105,"Girl with a Pearl Earring",2003,"Peter Webber"
422106,"I Heart Huckabees",2004,"DavidO. Russell"
422107,"A Clockwork Orange",1971,"Stanley Kubrik"
422108,"Donnie Darko",2001,"RichardKelly"
422109,"The Princess Bride",1987,"RobReiner"
